City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
367,makar'yev,57.8797,43.8069,-7.988888888888889,96,100,5.97,RU,1707771454
368,hotan,37.0997,79.9269,5.261111111111111,30,100,6.02,CN,1707771454
369,brainerd,46.358,-94.2008,2.1388888888888897,68,100,6.91,US,1707771262
370,preobrazheniye,42.9019,133.9064,-4.188888888888888,95,35,4.32,RU,1707771454
371,kalashnikovo,57.2824,35.2262,-6.03888888888889,95,100,7.76,RU,1707771454
372,sunne,59.8376,13.143,-3.7722222222222217,96,100,7.36,SE,1707771454
373,naze,28.3667,129.4833,8.511111111111111,60,66,9.31,JP,1707771455
374,sahaswan,28.0833,78.75,13.55,45,63,5.1,IN,1707771455
375,novyye burasy,52.1324,46.0714,-1.861111111111112,99,100,7.07,RU,1707771455
376,calatayud,41.3535,-1.6432,8.638888888888888,75,32,0.27,ES,1707771455
377,puerto baquerizo moreno,-0.9,-89.6,28.55,79,75,8.05,EC,1707771455
378,timbuktu,16.7735,-3.0074,27.738888888888894,6,0,9.78,ML,1707771455
379,ishigaki,24.3448,124.1572,19.072222222222223,55,20,8.05,JP,1707771455
380,mimon,50.6587,14.7247,6.25,93,48,4.34,CZ,1707771455
381,haraiya,26.8,82.4667,14.172222222222222,43,57,5.14,IN,1707771455
382,erdenet,49.0333,104.0833,-15.950000000000001,98,100,2.86,MN,1707771456
383,faya-largeau,17.9257,19.1043,25.177777777777774,10,0,6.89,TD,1707771456
384,montes claros,-16.735,-43.8617,29.87777777777778,48,20,10.36,BR,1707771456
385,lompoc,34.6391,-120.4579,18.077777777777783,57,0,9.22,US,1707771296
386,kamaishi,39.2667,141.8833,0.9777777777777767,84,7,6.82,JP,1707771456
387,sodankyla,67.4167,26.6,-25.477777777777778,100,100,2.26,FI,1707771456
388,yuzhno-kurilsk,44.0306,145.8556,-5.35,80,96,10.0,RU,1707771456
389,yen bai,21.7,104.8667,15.86111111111111,88,84,0.2,VN,1707771456
390,nacala,-14.5428,40.6728,23.977777777777778,97,100,6.96,MZ,1707771456
391,kralendijk,12.15,-68.2667,29.98888888888889,66,75,18.41,BQ,1707771322
392,menongue,-14.6585,17.691,18.35,91,97,1.77,AO,1707771457
393,howard springs,-12.497,131.047,25.95,96,100,9.01,AU,1707771457
394,manokwari,-0.8667,134.0833,25.388888888888893,80,38,4.88,ID,1707771457
395,lovosice,50.515,14.051,6.67777777777778,99,73,11.99,CZ,1707771462
396,sinabang,2.4803,96.3801,27.16111111111111,77,1,1.01,ID,1707771462
397,tevriz,57.509,72.4042,-28.572222222222223,100,100,3.42,RU,1707771462
398,marion,39.7684,-86.1555,9.21111111111111,55,75,9.22,US,1707771462
399,selfoss,63.9331,-20.9971,-4.227777777777778,83,100,10.6,IS,1707771462
400,palmerston,-12.486,130.9833,25.98888888888889,91,100,14.97,AU,1707771463
401,san ignacio,17.1561,-89.0714,31.07777777777778,66,40,11.5,BZ,1707771463
402,berbera,10.4396,45.0143,26.01111111111111,81,47,6.69,SO,1707771463
403,inarajan village,13.2736,144.7484,26.07777777777778,84,99,20.69,GU,1707771463
404,al bardiyah,31.7561,25.0865,14.95,70,77,14.14,LY,1707771463
405,saint-pierre,-21.3393,55.4781,26.822222222222223,83,0,2.3,RE,1707771463
406,kolonia town,6.964,158.206,28.000000000000004,78,100,8.05,FM,1707771463
407,sitka,57.0531,-135.33,3.938888888888891,87,20,3.44,US,1707771463
408,moroni,-11.7022,43.2551,27.011111111111116,85,100,8.9,KM,1707771463
409,altagracia de orituco,9.8601,-66.3814,31.172222222222224,39,75,6.46,VE,1707771463
410,tsarychanka,48.937,34.4786,9.31111111111111,86,100,11.45,UA,1707771463
411,grand falls-windsor,48.9332,-55.6649,1.949999999999999,90,100,3.09,CA,1707771463
412,jayapura,-2.5333,140.7,24.66111111111111,92,97,3.62,ID,1707771464
413,powell river,49.8496,-124.5361,8.900000000000002,93,75,2.3,CA,1707771464
414,smidovich,48.6,133.8167,-12.172222222222222,98,100,2.86,RU,1707771464
415,bocas del toro,9.3333,-82.25,25.588888888888892,76,59,7.94,PA,1707771464
416,mysore,12.3072,76.6497,18.73888888888889,63,62,5.41,IN,1707771464
417,bestobe,52.4994,73.0975,-14.1,83,100,13.15,KZ,1707771464
418,tarawa,1.419,172.984,28.16111111111111,82,100,15.99,KI,1707771464
419,huarmey,-10.0681,-78.1522,26.777777777777782,74,90,11.21,PE,1707771464
420,adiake,5.2863,-3.304,27.072222222222226,87,69,5.41,CI,1707771464
421,maricopa,33.0581,-112.0476,18.41111111111111,42,0,6.91,US,1707771464
422,masterton,-40.9597,175.6575,17.83888888888889,55,9,1.32,NZ,1707771464
423,tamanrasset,22.785,5.5228,18.95,26,0,2.3,DZ,1707771465
424,tselinnoye,53.0833,85.6667,-15.18888888888889,90,100,13.44,RU,1707771465
425,cedeira,43.6797,-8.0209,13.238888888888889,81,100,8.1,ES,1707771465
426,san andres,12.5847,-81.7006,30.01111111111111,74,20,12.66,CO,1707771465
427,namtsy,62.7161,129.6658,-27.127777777777776,99,100,3.71,RU,1707771465
428,marka,1.7159,44.7717,25.688888888888886,88,41,15.28,SO,1707771465
429,nelson bay,-32.7167,152.15,23.377777777777776,85,0,7.0,AU,1707771465
430,eyl,7.9803,49.8164,25.022222222222226,80,5,11.92,SO,1707771465
431,genhe,50.7833,121.5167,-8.65,97,100,2.1,CN,1707771465
432,lagoa,39.05,-27.9833,15.98888888888889,81,100,33.17,PT,1707771465
433,ardakan,32.31,54.0175,10.777777777777777,26,0,0.58,IR,1707771466
434,el alto,-4.2714,-81.2147,30.81111111111111,66,23,13.71,PE,1707771466
435,chemin grenier,-20.4872,57.4656,26.772222222222222,78,27,11.72,MU,1707771466
436,mourmelon-le-grand,49.1326,4.3642,4.3611111111111125,93,23,2.3,FR,1707771466
437,yenangyaung,20.4667,94.8833,20.522222222222222,38,57,3.87,MM,1707771466
438,vernon,50.2581,-119.2691,6.272222222222222,90,44,1.14,CA,1707771466
439,mejit,10.2753,170.8646,26.488888888888894,80,100,22.66,MH,1707771466
440,pasni,25.2631,63.471,20.02777777777778,71,100,2.19,PK,1707771466
441,shalkar,47.8288,59.6258,-7.427777777777779,83,100,7.61,KZ,1707771466
